GEO.id,GEO.id2,GEO.display-label,VD01,VD02,VD03,VD04,VD05,VD06,VD07,VD08
Id,Id2,Geography,Total:,1-person household,2-person household,3-person household,4-person household,5-person household,6-person household,7-or-more person household
1500000US510131017003,510131017003,"Block Group 3, Census Tract 1017, Arlington County, Virginia",372,174,125,43,19,8,1,2
1500000US510131017004,510131017004,"Block Group 4, Census Tract 1017, Arlington County, Virginia",1064,603,322,68,37,18,8,8
1500000US510131017005,510131017005,"Block Group 5, Census Tract 1017, Arlington County, Virginia",436,153,121,80,40,22,13,7
1500000US510131018001,510131018001,"Block Group 1, Census Tract 1018, Arlington County, Virginia",2345,1322,764,141,65,35,11,7
1500000US510131018002,510131018002,"Block Group 2, Census Tract 1018, Arlington County, Virginia",1105,619,309,81,60,21,12,3
1500000US510131018003,510131018003,"Block Group 3, Census Tract 1018, Arlington County, Virginia",544,312,155,49,19,5,1,3
1500000US510131018004,510131018004,"Block Group 4, Census Tract 1018, Arlington County, Virginia",152,39,52,33,24,3,0,1
1500000US510131018005,510131018005,"Block Group 5, Census Tract 1018, Arlington County, Virginia",248,75,84,36,35,12,4,2
1500000US510131018006,510131018006,"Block Group 6, Census Tract 1018, Arlington County, Virginia",434,209,146,40,26,10,2,1
1500000US510131018007,510131018007,"Block Group 7, Census Tract 1018, Arlington County, Virginia",346,186,122,31,5,1,1,0
